RefEx_Sample_ID	BioSample_ID	Project_Sample_ID
RES00002665	SAMN11830185	GTEX-11DZ1-0011-R2a-SM-DNZZM
RES00002666	SAMN11823909	GTEX-11DZ1-0011-R3a-SM-DNZYY
RES00002631	SAMN11827583	GTEX-11DZ1-0011-R5a-SM-DO11J
RES00002632	SAMN11823941	GTEX-11DZ1-0011-R6b-SM-DNZZG
RES00002633	SAMN11828263	GTEX-11DZ1-0011-R7a-SM-DNZZH
RES00002634	SAMN11829650	GTEX-11DZ1-0011-R8b-SM-DNZZI
RES00002635	SAMN11825022	GTEX-11DZ1-0011-R9a-SM-DO933
RES00002555	SAMN02787326	GTEX-11DZ1-0126-SM-5985Q
RES00002554	SAMN02790759	GTEX-11DZ1-0226-SM-5A5KF
RES00002627	SAMN02792515	GTEX-11DZ1-0326-SM-5N9BN
RES00002540	SAMN02789359	GTEX-11DZ1-0426-SM-5H11A
RES00002556	SAMN02788181	GTEX-11DZ1-0926-SM-5EQ5R
RES00002544	SAMN02791446	GTEX-11DZ1-2026-SM-5A5KG
RES00002548	SAMN02788423	GTEX-11DZ1-2426-SM-5GZZX
RES00002539	SAMN02791666	GTEX-11DZ1-2726-SM-5A5KH
RES00002638	SAMN02793415	GTEX-11DZ1-2926-SM-5A5KI
RES00002558	SAMN02788546	GTEX-11EI6-0005-SM-5N9GN
RES00002577	SAMN02791834	GTEX-11EI6-0008-SM-5QGR7
RES00002559	SAMN11827302	GTEX-11EI6-0011-R10a-SM-DO93R
RES00002658	SAMN11826359	GTEX-11EI6-0011-R11a-SM-DO11V
RES00002667	SAMN11828602	GTEX-11EI6-0011-R1a-SM-DO93L
RES00002662	SAMN11830588	GTEX-11EI6-0011-R8a-SM-DO93M
RES00002560	SAMN02790532	GTEX-11EI6-0126-SM-5985R
RES00002561	SAMN02791950	GTEX-11EI6-0226-SM-5EQ64
RES00002562	SAMN02787474	GTEX-11EI6-0326-SM-5EQ6G
RES00002564	SAMN02788959	GTEX-11EI6-0426-SM-5EQ43
RES00002563	SAMN02791641	GTEX-11EI6-0526-SM-5985S
RES00002589	SAMN02791634	GTEX-11EI6-0626-SM-5985T
RES00002567	SAMN02793286	GTEX-11EI6-0726-SM-59866
RES00002568	SAMN02788105	GTEX-11EI6-0826-SM-5985V
RES00002582	SAMN02793433	GTEX-11EI6-1526-SM-5P9GL
RES00002570	SAMN02787876	GTEX-11EI6-2226-SM-5EGJM
RES00002584	SAMN02788220	GTEX-11EI6-2426-SM-5PNVS
RES00002588	SAMN02793693	GTEX-11EI6-2626-SM-5PNVT
RES00002572	SAMN02788390	GTEX-11EI6-2826-SM-5H11D
RES00002576	SAMN02791035	GTEX-11EI6-2926-SM-5985U
RES00002575	SAMN02791095	GTEX-11EI6-3026-SM-5GZZO
RES00002574	SAMN02793250	GTEX-11EI6-3126-SM-5H111
RES00002668	SAMN02788631	GTEX-11EM3-0001-SM-5Q5BD
RES00002669	SAMN02788139	GTEX-11EM3-0005-SM-5N9DK
RES00002670	SAMN02792627	GTEX-11EM3-0126-SM-5985K
RES00002671	SAMN02787724	GTEX-11EM3-0226-SM-5985Y
RES00002672	SAMN02788646	GTEX-11EM3-0326-SM-5A5KJ
RES00002673	SAMN02793128	GTEX-11EM3-0426-SM-5N9BZ
RES00002674	SAMN02792359	GTEX-11EM3-0526-SM-5H12N
